Type,Price,Bedrooms,Bathrooms,Area,Furnished,Level,Compound,Payment_Option,Delivery_Date,Delivery_Term,City,Price_Category,Area_Category,Price_per_sqm,in_Compound,Immediate_Move
Apartment,657400.0,3.0,2.0,134.0,No,4.0,Unknown,Installment,36.0,Semi Finished,New Heliopolis,Standard,Medium,4905.9701492537315,0,0
Apartment,810000.0,3.0,1.0,140.0,Yes,5.0,Unknown,Cash,0.0,Finished,Mohandessin,Standard,Medium,5785.714285714285,0,1
Apartment,1446394.0,3.0,2.0,158.0,No,4.0,Unknown,Unknown Payment,0.0,Semi Finished,New Cairo - El Tagamoa,Standard,Medium,9154.39240506329,0,1
Apartment,1750000.0,3.0,2.0,160.0,No,5.0,Unknown,Cash,0.0,Finished,Glim,Premium,Medium,10937.5,0,1
Apartment,1691150.0,3.0,2.0,154.5,No,0.0,Unknown,Cash or Installment,3.0,Unknown ,New Cairo - El Tagamoa,Premium,Medium,10945.954692556634,0,0
Apartment,362000.0,3.0,3.0,160.0,Unknown,2.0,Mountain View iCity,Cash or Installment,0.0,Unknown ,New Cairo - El Tagamoa,Budget,Medium,2262.5,1,1
Apartment,1995000.0,2.0,1.0,100.0,No,1.0,Unknown,Cash or Installment,0.0,Finished,Ain Sukhna,Premium,Small,19950.0,0,1
Duplex,4300000.0,3.0,3.0,380.0,No,0.0,Unknown,Cash,0.0,Finished,Sheikh Zayed,Premium,Very Large,11315.78947368421,0,1
Apartment,3320000.0,3.0,3.0,164.0,No,2.0,EL Patio ORO,Cash or Installment,36.0,Not Finished,New Cairo - El Tagamoa,Premium,Large,20243.90243902439,1,0
Apartment,1500000.0,3.0,1.0,150.0,Unknown,7.0,Unknown,Cash,0.0,Finished,Abasiya,Standard,Medium,10000.0,0,1
Apartment,2770000.0,2.0,2.0,128.0,No,0.0,EL Patio Casa,Cash or Installment,3.0,Semi Finished,Shorouk City,Premium,Medium,21640.625,1,0
Apartment,1984000.0,4.0,3.0,224.0,No,0.0,Beit Al Watan,Cash or Installment,36.0,Semi Finished,New Cairo - El Tagamoa,Premium,Large,8857.142857142857,1,0
Apartment,1350000.0,2.0,2.0,150.0,Unknown,2.0,Unknown,Cash,1.5,Unknown ,Fleming,Standard,Medium,9000.0,0,0
Apartment,2150000.0,3.0,2.0,200.0,Yes,8.0,Unknown,Cash or Installment,0.0,Finished,Maadi,Premium,Large,10750.0,0,1
Apartment,550000.0,3.0,2.0,135.0,No,1.0,Unknown,Cash or Installment,0.0,Semi Finished,Hadayek 6th of October,Standard,Medium,4074.074074074074,0,1
Apartment,3000000.0,3.0,2.0,200.0,Yes,10.0,Unknown,Cash,0.0,Finished,Nasr City,Premium,Large,15000.0,0,1
Apartment,1750000.0,3.0,2.0,166.0,No,1.0,2020 Compound,Cash,0.0,Semi Finished,Sheikh Zayed,Premium,Large,10542.168674698794,1,1
Apartment,2500000.0,2.0,1.0,143.0,Unknown,5.0,Madinaty,Cash,0.0,Finished,Madinaty,Premium,Medium,17482.517482517484,1,1
Apartment,350000.0,2.0,1.0,85.0,No,4.0,Unknown,Cash,0.0,Finished,Haram,Budget,Small,4117.64705882353,0,1
Apartment,1396000.0,3.0,3.0,179.0,Unknown,0.0,Unknown,Cash or Installment,36.0,Semi Finished,6th of October,Standard,Large,7798.882681564246,0,0
Apartment,1180000.0,3.0,1.0,130.0,No,4.0,Unknown,Cash,0.0,Finished,6th of October,Standard,Medium,9076.923076923076,0,1
Apartment,3100000.0,3.0,3.0,183.0,No,2.0,Madinaty,Cash,0.0,Finished,Madinaty,Premium,Large,16939.890710382515,1,1
Apartment,1805000.0,2.0,2.0,105.0,Unknown,0.0,Kayan,Installment,36.0,Semi Finished,Sheikh Zayed,Premium,Small,17190.47619047619,1,0
Duplex,335000.0,5.0,2.0,189.0,No,5.0,Unknown,Cash,0.0,Not Finished,Damietta City,Budget,Large,1772.4867724867725,0,1
Apartment,1000000.0,3.0,2.0,100.0,No,2.0,Unknown,Cash,0.0,Finished,Mansura,Standard,Small,10000.0,0,1
Apartment,875000.0,3.0,2.0,150.0,No,2.0,Unknown,Cash or Installment,36.0,Semi Finished,6th of October,Standard,Medium,5833.333333333333,0,0
Apartment,1750000.0,4.0,3.0,210.0,No,2.0,Unknown,Cash or Installment,0.0,Semi Finished,6th of October,Premium,Large,8333.333333333334,0,1
Apartment,1500000.0,4.0,2.0,170.0,Yes,8.0,Unknown,Cash,0.0,Unknown ,Mohandessin,Standard,Large,8823.529411764706,0,1
Apartment,2950000.0,1.0,1.0,106.0,No,0.0,Aeon,Cash,0.0,Semi Finished,Sheikh Zayed,Premium,Small,27830.188679245282,1,1
Studio,2704082.0,1.0,2.0,59.0,Unknown,10.0,ZED Towers,Installment,3.0,Finished,Sheikh Zayed,Premium,Small,45831.898305084746,1,0
Apartment,2700000.0,2.0,2.0,123.0,No,2.0,Galleria Moon Valley,Installment,0.0,Core & Shell,New Cairo - El Tagamoa,Premium,Medium,21951.219512195123,1,1
Apartment,1526400.0,3.0,2.0,212.0,Unknown,2.0,Beit Al Watan,Installment,24.0,Semi Finished,New Damietta,Premium,Large,7200.0,1,0
Apartment,670000.0,3.0,1.0,110.0,No,5.0,Unknown,Cash or Installment,0.0,Unknown ,Ismailia City,Standard,Small,6090.909090909091,0,1
Apartment,750000.0,3.0,2.0,120.0,No,1.0,Unknown,Cash,6.0,Finished,10th of Ramadan,Standard,Small,6250.0,0,0
Apartment,2350000.0,3.0,2.0,195.0,No,0.0,Unknown,Cash or Installment,0.0,Finished,New Cairo - El Tagamoa,Premium,Large,12051.28205128205,0,1
Apartment,2100000.0,3.0,2.0,160.0,Yes,2.0,Unknown,Cash,0.0,Finished,Mohandessin,Premium,Medium,13125.0,0,1
Apartment,4400000.0,4.0,3.0,200.0,Unknown,3.0,Madinaty,Cash,0.0,Finished,Madinaty,Premium,Large,22000.0,1,1
Apartment,1350000.0,3.0,2.0,185.0,No,2.0,Unknown,Cash or Installment,0.0,Semi Finished,Zahraa Al Maadi,Standard,Large,7297.2972972972975,0,1
Apartment,1648000.0,3.0,3.0,160.0,Unknown,3.0,Midtown Condo,Cash or Installment,24.0,Core & Shell,New Capital City,Premium,Medium,10300.0,1,0
Apartment,220000.0,2.0,1.0,55.0,No,1.0,Unknown,Cash,0.0,Finished,Heliopolis,Budget,Small,4000.0,0,1
Apartment,1613800.0,3.0,3.0,182.0,Unknown,1.0,Unknown,Unknown Payment,0.0,Semi Finished,New Cairo - El Tagamoa,Premium,Large,8867.032967032967,0,1
Penthouse,3700000.0,4.0,3.0,263.0,No,3.0,El Khamayel,Cash or Installment,0.0,Finished,Sheikh Zayed,Premium,Large,14068.441064638784,1,1
Apartment,3800000.0,3.0,3.0,198.0,No,2.0,Unknown,Cash,0.0,Finished,Sheikh Zayed,Premium,Large,19191.91919191919,0,1
Apartment,3625000.0,2.0,2.0,160.0,Unknown,1.0,Mountain View iCity,Cash or Installment,3.0,Unknown ,Hadayek 6th of October,Premium,Medium,22656.25,1,0
Apartment,3000000.0,3.0,3.0,162.0,No,4.0,Rehab City,Cash,0.0,Finished,Rehab City,Premium,Large,18518.51851851852,1,1
Apartment,2500000.0,3.0,2.0,140.0,Unknown,2.0,Unknown,Unknown Payment,0.0,Unknown ,Sheikh Zayed,Premium,Medium,17857.14285714286,0,1
Apartment,3800000.0,3.0,2.0,195.0,Unknown,2.0,Unknown,Unknown Payment,0.0,Unknown ,Sheikh Zayed,Premium,Large,19487.17948717949,0,1
Penthouse,4128000.0,3.0,3.0,301.0,Unknown,3.0,Unknown,Unknown Payment,0.0,Unknown ,Sheikh Zayed,Premium,Very Large,13714.285714285714,0,1
Apartment,4100000.0,4.0,3.0,253.0,Unknown,2.0,Unknown,Unknown Payment,0.0,Unknown ,Sheikh Zayed,Premium,Large,16205.533596837944,0,1
Apartment,2520000.0,3.0,2.0,145.0,Unknown,1.0,The Address East,Unknown Payment,0.0,Semi Finished,New Cairo - El Tagamoa,Premium,Medium,17379.310344827587,1,1
Apartment,2100000.0,3.0,2.0,169.0,Unknown,2.0,Aria,Cash or Installment,12.0,Semi Finished,New Cairo - El Tagamoa,Premium,Large,12426.03550295858,1,0
Apartment,2600000.0,2.0,3.0,135.0,No,0.0,Hyde Park New Cairo,Cash,0.0,Core & Shell,New Cairo - El Tagamoa,Premium,Medium,19259.25925925926,1,1
Apartment,1400000.0,2.0,2.0,116.0,Unknown,0.0,Unknown,Unknown Payment,0.0,Unknown ,New Cairo - El Tagamoa,Standard,Small,12068.965517241379,0,1
Apartment,4500000.0,3.0,3.0,192.0,Unknown,2.0,Unknown,Cash,0.0,Unknown ,New Cairo - El Tagamoa,Premium,Large,23437.5,0,1
Penthouse,3300000.0,3.0,3.0,167.0,No,2.0,Fifth Square,Cash or Installment,12.0,Finished,New Cairo - El Tagamoa,Premium,Large,19760.47904191617,1,0
Apartment,5300000.0,3.0,3.0,205.0,No,2.0,Fifth Square,Unknown Payment,0.0,Finished,New Cairo - El Tagamoa,Luxury,Large,25853.658536585364,1,1
Apartment,370000.0,3.0,2.0,130.0,Unknown,3.0,Unknown,Cash or Installment,0.0,Not Finished,Dar al-Salaam,Budget,Medium,2846.153846153846,0,1
Duplex,4350000.0,3.0,3.0,234.0,No,2.0,Hyde Park New Cairo,Cash or Installment,0.0,Semi Finished,New Cairo - El Tagamoa,Premium,Large,18589.74358974359,1,1
Apartment,3100000.0,3.0,2.0,185.0,Unknown,2.0,Unknown,Unknown Payment,0.0,Unknown ,Sheikh Zayed,Premium,Large,16756.756756756757,0,1
Apartment,1500000.0,2.0,1.0,70.0,Yes,3.0,Madinaty,Cash or Installment,0.0,Finished,Madinaty,Standard,Small,21428.571428571428,1,1
Apartment,690000.0,3.0,2.0,115.0,Unknown,0.0,Unknown,Unknown Payment,0.0,Unknown ,Hadayek al-Ahram,Standard,Small,6000.0,0,1
Apartment,1650000.0,2.0,1.0,96.0,No,4.0,Madinaty,Cash,0.0,Finished,Madinaty,Premium,Small,17187.5,1,1
Apartment,800000.0,3.0,2.0,176.0,Unknown,3.0,Unknown,Cash or Installment,3.0,Finished,New Cairo - El Tagamoa,Standard,Large,4545.454545454545,0,0
Apartment,925000.0,2.0,1.0,84.0,No,4.0,Madinaty,Installment,0.0,Finished,Madinaty,Standard,Small,11011.904761904761,1,1
Apartment,480000.0,2.0,1.0,78.0,No,1.0,Madinaty,Installment,0.0,Finished,Madinaty,Budget,Small,6153.846153846154,1,1
Apartment,1680000.0,3.0,2.0,116.0,No,1.0,Madinaty,Cash,0.0,Finished,Madinaty,Premium,Small,14482.758620689656,1,1
Apartment,1700000.0,3.0,2.0,116.0,No,1.0,Madinaty,Cash,0.0,Finished,Madinaty,Premium,Small,14655.172413793103,1,1
Apartment,3600000.0,4.0,3.0,200.0,Unknown,2.0,Unknown,Cash or Installment,0.0,Finished,Madinaty,Premium,Large,18000.0,0,1
Apartment,4100000.0,3.0,3.0,244.0,Unknown,0.0,Unknown,Cash,0.0,Finished,Madinaty,Premium,Large,16803.27868852459,0,1
Apartment,3185300.0,3.0,2.0,108.0,No,0.0,Unknown,Cash or Installment,0.0,Finished,North Coast,Premium,Small,29493.51851851852,0,1
